Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
CATHOLIC MEDICAL CENTER,6103897129,NH,A38596,NH Accountable Care Partners,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,96,7696,4,100,,REG,Y
ENT SURGICAL ASSOCIATES,6103897988,CA,A45848,ApolloMed Accountable Care Organization Inc.,,,Y,,,,,,,,,,
CHEST MEDICINE AND CRITICAL CARE MEDICAL GROUP INC,6103898259,CA,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,100,322,5,100,,REG,Y
CHEST MEDICINE AND CRITICAL CARE MEDICAL GROUP INC,6103898259,CA,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,49,,,,REG,N
APOLLO MEDICAL CENTER PA,6103900931,FL,A15929,"West Florida ACO, LLC",,,Y,,,,,,,,,,
"ARMITY A SIMON, MD PC",6103904198,AZ,A29052,"Scottsdale Health Partners, LLC",,,Y,,,,,,,,,,
KENNETH E BRESKY DO PA,6103906953,FL,A46189,"PremierMD ACO, LLC",,,Y,,,,,,,,,,
"FIRST CHOICE PRIMARY CARE, INC.",6103907316,GA,A86799,"Accountable Care Coalition of Georgia, LLC.",,,Y,,,,,,,,,,
MILWAUKEE INTERNAL MEDICINE ASSOCIATES INC,6103908785,WI,A18256,"Accountable Care Coalition of Southeast Wisconsin, LLC",,,Y,,,,,,,,,,
LA CASA DE SALUD INC.,6103913835,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
"GENESYS FAMILY MEDICINE, PC",6103916010,TN,A74604,TP-ACO L.L.C.,,,Y,,,,,,,,,,
NEW ENGLAND FOOT and ANKLE PC,6103921853,MA,A46043,"Circle Health Alliance, LLC",,,Y,,,,,,,,,,
NORTH OHIO HEART INC,6103942529,OH,A09762,University Hospitals Coordinated Care Organization,,,Y,,,,,,,,,,
"WEST TORRANCE PODIATRISTS GROUP, INC.",6103945266,CA,A70411,"Torrance Memorial Integrated Physicians, LLC",,,Y,,,,,,,,,,
"HURON SURGICAL CLINIC, P.C.",6103954268,MI,A07334,"Connected Care, LLC",,,Y,,,,,,,,,,
"PEARL GERIATRICS AND PALLIATIVE MEDICINE, PSC",6103954847,KY,A12017,"Baptist Health Care Partners, LLC",,,Y,,,,,,,,,,
JEFFERSON SPORTS and PHYSICAL THERAPY PC,6103963558,NY,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,294,,,,REG,N
JEFFERSON SPORTS and PHYSICAL THERAPY PC,6103963558,NY,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,100,56,,,,REG,N
JEFFERSON SPORTS and PHYSICAL THERAPY PC,6103963558,NY,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,98,56,,,,REG,N
JEFFERSON SPORTS and PHYSICAL THERAPY PC,6103963558,NY,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,299,,,,REG,N
MARK J FLORIAN MD PA,6103966270,TX,A32730,MHT-ACO,,,,,,,,,,,,,
EAR NOSE AND THROAT ASSOCIATES OF LUBBOCK PA,6103968896,TX,A07425,"Covenant ACO, Inc.",,,Y,,,,,,,,,,
JOHN R CLOUGH,6103980305,TN,A98813,Cumberland Center for Healthcare Innovation,,,Y,,,,,,,,,,
KIUMARCE KASHI MD PC,6103984539,MD,A31015,Northern Maryland Collaborative Care LLC,,,Y,,,,,,,,,,
BAYSIDE EMERGENCY PHYSICIANS PA,6103988332,FL,A25701,"BayCare Physician Partners ACO, LLC",,,Y,,,,,,,,,,
"COMPREHENSIVE NEUROLOGY SERVICES, PA",6103993126,MD,A91307,Frederick Integrated Healthcare Network LLC,,,Y,,,,,,,,,,
"HOSPITAL MEDICINE SERVICES OF OHIO, INC.",6103997747,OH,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,85,2282,4,100,,REG,Y
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,AZ,P029,Banner Health Network,,,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,100,2947,,,,REG,N
BANNER PHYSICIAN SPECIALISTS ARIZONA LLC,6204002272,AZ,P029,Banner Health Network,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,73,7538,2,100,,REG,Y
"ELITE MEDICAL, PLLC",6204004476,MS,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,34,305,1,100,,REG,Y
LUTHERVILLE HEMATOLOGY AND ONCOLOGY SERVICES,6204005325,MD,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,69,514,2,100,,REG,Y
"ADVANCED SENIOR CARE, INC",6204010846,MO,A26254,"Central US ACO, LLC",,,Y,,,,,,,,,,
"ONE MEDICAL GROUP, INC.",6204069859,CA,A42036,Cedars-Sinai Medical Care Foundation,,,Y,,,,,,,,,,
REGENTS OF THE UNIVERSITY OF CALIFORNIA,6204073448,CA,A70411,"Torrance Memorial Integrated Physicians, LLC",,,Y,,,,,,,,,,
NORMAN S NOVIS MD PA,6204080146,FL,A69673,Citrus ACO,,,Y,,,,,,,,,,
NASSIM HADDAD MD PLLC,6204084973,AZ,A29052,"Scottsdale Health Partners, LLC",,,Y,,,,,,,,,,
"COLORADO URGENT CARE PHYSICIANS, PC",6204094485,CO,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,81,447,3,100,,REG,Y
"COLORADO URGENT CARE PHYSICIANS, PC",6204094485,CO,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,293,5,0,,REG,Y
"COLORADO URGENT CARE PHYSICIANS, PC",6204094485,CO,,,,,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use),Y,0,65,,,,REG,N
"COLORADO URGENT CARE PHYSICIANS, PC",6204094485,CO,,,,,Y,PQRS_GRP_332_1,Adult Sinusitis: Appropriate Choice of Antibiotic: Amoxicillin Prescribed for Patients with Acute Bacterial Sinusitis,N,25,53,,,,REG,N
"NORTHEAST MEDICAL GROUP, PLLC",6204095201,NY,A42910,"Northeast Medical Group ACO, LLC",,,Y,,,,,,,,,,
"COMPREHENSIVE HOSPITALISTS OF FLORIDA, LLC",6204130883,FL,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,100,1699,5,100,,REG,Y
SOUTHEAST ARKANSAS EMERGENCY PHYSICIANS LLP,6204146319,AR,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,98,107,,,,REG,N
SOUTHEAST ARKANSAS EMERGENCY PHYSICIANS LLP,6204146319,AR,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,93,107,,,,REG,N
SOUTHEAST ARKANSAS EMERGENCY PHYSICIANS LLP,6204146319,AR,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,69,1189,2,100,,REG,Y
SOUTHEAST ARKANSAS EMERGENCY PHYSICIANS LLP,6204146319,AR,,,,,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use),Y,29,63,,,,REG,N
SOUTHEAST ARKANSAS EMERGENCY PHYSICIANS LLP,6204146319,AR,,,,,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,98,819,,,,REG,N
UNITED HOSPITAL DISTRICT INC,6204158884,MN,,,,,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic - First OR Second Generation Cephalosporin,N,82,28,,,,REG,N
UNITED HOSPITAL DISTRICT INC,6204158884,MN,,,,,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,90,31,,,,REG,N
UNITED HOSPITAL DISTRICT INC,6204158884,MN,,,,,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,100,31,,,,REG,N
UNITED HOSPITAL DISTRICT INC,6204158884,MN,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,79,937,4,100,,REG,Y
"PRIMECARE COMMUNITY HEALTH, INC",6204722077,IL,A33458,Medicare Value Partners,,,Y,,,,,,,,,,
"PINNACLE ORTHOPAEDICS and SPORTS MEDICINE SPECIALISTS, LLC",6204723216,GA,A67345,"WellStar Health Network, LLC",,,Y,,,,,,,,,,
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,90,2737,,,,REG,N
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,4329,,,,REG,N
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,93,282,,,,REG,N
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,96,1454,,,,REG,N
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,4329,,,,REG,N
RADIOLOGY CONSULTANTS INC,6204723547,OK,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,96,263,,,,REG,N
SOUTHEAST COLORADO HOSPITAL DISTRICT,6204725138,CO,A61487,Mountain Prairie ACO,,,Y,,,,,,,,,,
BENDER MEDICAL GROUP INC,6204725575,CO,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,56,1709,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,4407,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,71,264,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,86,1371,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,76,4407,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,93,5,0,,REG,Y
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_322_1,Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low Risk Surgery Patients,Y,0,867,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_323_1,Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Routine Testing After Percutaneous Coronary Intervention (PCI),Y,0,867,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,0,867,,,,REG,N
RADIOLOGY LTD PLC,6204727589,WA,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,98,176,,,,REG,N
"CLINICAL PATHOLOGY ASSOCIATES, PC",6204727621,IA,,,,,,PQRS_GRP_395_1,Lung Cancer Reporting (Biopsy/Cytology Specimens),N,100,29,,,,REG,N
"ST. BARNABAS OB/GYN, P.C.",6204727746,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
ALLAWAY and PAROUSIS UROLOGY MD PA,6204728363,MD,A94900,Western Maryland Physician Network LLC,,,Y,,,,,,,,,,
FAMILY PRACTICE ASSOCIATES,6204729957,OK,A07527,"Premier Patient Healthcare, LLC",,,Y,,,,,,,,,,
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,49,587,3,87,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,71,616,4,93,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,72,616,4,84,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,44,551,3,80,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,67,106,,,,WI,N
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,70,611,3,93,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,83,3225,,,,WI,N
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,62,606,3,93,,WI,Y
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,95,455,,,,WI,N
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,52,569,,,,WI,N
UNIVERSITY OF PENN MEDICAL GROUP,6204730955,PA,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,71,616,3,99,,WI,Y
DECATUR MEMORIAL HOSPITAL,6204731144,IL,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,95,14640,4,100,,REG,Y
SERRA COMMUNITY MEDICAL CLINIC INC,6204732928,CA,NG450,"Prospect ACO CA, LLC",,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,91,2247,4,100,,REG,Y
"DIGESTIVE HEALTH PHYSICIANS, P.C.",6204733066,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
SOUTHWEST PULMONARY ASSOCIATES,6204733165,TX,A46995,UT Southwestern Accountable Care Network,,,Y,,,,,,,,,,
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,62,249,3,87,,WI,Y
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,78,143,4,93,,WI,Y
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,30,69,2,80,,WI,Y
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,91,23,,,,WI,N
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,52,290,2,93,,WI,Y
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,83,1276,,,,WI,N
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,7,181,1,93,,WI,Y
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,82,22,,,,WI,N
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,76,105,,,,WI,N
"SAINT JOSEPH HOSPITAL, INC",6204735970,CO,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,82,154,4,99,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,65,248,3,87,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,70,248,3,93,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,71,266,4,84,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_117_1,Diabetes: Eye Exam - National Quality Strategy,N,51,249,3,80,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy - Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,73,166,,,,WI,N
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,60,248,3,93,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,95,960,,,,WI,N
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,72,269,4,93,,WI,Y
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,91,274,,,,WI,N
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,94,248,,,,WI,N
"EXCELA HEALTH PHYSICIAN PRACTICES, INC",6204737117,PA,,,,,Y,PQRS_GRP_318_1,Falls: Screening for Future Fall Risk,N,73,252,3,99,,WI,Y
NESHOBA COUNTY GENERAL HOSPITAL,6204738289,MS,A55037,Magnolia-Evergreen ACO,,,Y,,,,,,,,,,
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,6204738602,NY,A86004,NewYork Quality Care,,,Y,,,,,,,,,,
NORTHWEST HOSPITAL CENTER INC,6204739352,MD,A59161,"LifeBridge Health ACO, LLC",,,Y,,,,,,,,,,
GREAT RIVER PHYSICIANS AND CLINICS INC,6204739675,IA,A91712,"University of Iowa Health Alliance Accountable Care Organization, LLC",,,Y,,,,,,,,,,
THE NEUROSCIENCE GROUP OF NORTHEAST WISCONSIN SC,6204740186,WI,NG444,ThedaCare ACO LLC,,,Y,,,,,,,,,,
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,OH,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,97,8206,4,100,,REG,Y
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,OH,,,,,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,64,3296,,,,REG,N
LICKING MEMORIAL PROFESSIONAL CORPORATION,6204740731,OH,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,95,869,4,100,,REG,Y
MERCY KANSAS COMMUNITIES INC,6204744287,KS,,,,,Y,PQRS_GRP_121_1,Adult Kidney Disease: Laboratory Testing (Lipid Profile),N,100,75,,,,REG,N
MERCY KANSAS COMMUNITIES INC,6204744287,KS,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,4969,5,100,,REG,Y
THE MOSES H CONE MEMORIAL HOSPITAL OPERATING CORPORATION,6204744600,NC,NG457,"Triad HealthCare Network, LLC",,,Y,,,,,,,,,,
FRANCISCAN HEALTH LAFAYETTE,6204747470,IN,A88553,"Franciscan ACO, Inc.",,,Y,,,,,,,,,,
"INDIANA UNIVERSITY HEALTH SOUTHERN INDIANA PHYSICIANS, INC",6204748197,IN,A43014,"Indiana University Health ACO, Inc.",,,Y,,,,,,,,,,
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,90,1570,4,100,,REG,Y
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO,,,,,Y,PQRS_GRP_326_1,Atrial Fibrillation and Atrial Flutter: Chronic Anticoagulation Therapy,N,100,603,,,,REG,N
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO,,,,,Y,PQRS_GRP_46_3,Medication Reconciliation Post-Discharge,N,100,4205,,,,REG,N
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,78,4372,4,100,,REG,Y
INPATIENT CONSULTANTS OF COLORADO PC,6204748452,CO,,,,,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,86,526,3,100,,REG,Y
SISTERS OF CHARITY HOSPITAL OF BUFFALO NEW YORK,6204749153,NY,A04423,"Catholic Medical Partners-Accountable Care IPA, Inc.",,,Y,,,,,,,,,,
"INJURY PREVENTION SOLUTIONS, INC.",6204749575,OK,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,381,,,,REG,N
"INJURY PREVENTION SOLUTIONS, INC.",6204749575,OK,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,99,139,,,,REG,N
"INJURY PREVENTION SOLUTIONS, INC.",6204749575,OK,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,98,137,,,,REG,N
"INJURY PREVENTION SOLUTIONS, INC.",6204749575,OK,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,402,,,,REG,N
STEINGARD AND TESTA MEDICAL ASSOCIATES PC,6204800295,PA,A74161,Delaware Valley ACO,,,Y,,,,,,,,,,
"DR. BUTLER and ASSOCIATES, PLLC",6204803000,KY,A84924,AmpliPHY of Kentucky ACO LLC,,,Y,,,,,,,,,,
AHMED A. ARIF MD PC,6204803125,MI,A40225,PMC ACO,,,Y,,,,,,,,,,
ROBERT WOOD JOHNSON MEDICAL ASSOCIATES AT HAMILTON PA,6204805419,NJ,A18812,RWJ Partners LLC,,,Y,,,,,,,,,,
CAROLINAS HEALTHCARE ASSOCIATES INC,6204805823,NC,A20168,"Physician Quality Partners, LLC",,,Y,,,,,,,,,,
"LOWELL COMMUNITY HEALTH CENTER, INC.",6204807944,MA,A46043,"Circle Health Alliance, LLC",,,Y,,,,,,,,,,
CLINIC FOR CHEST DISEASES PLLC,6204810914,AZ,NG449,Optum Accountable Care,,,Y,,,,,,,,,,
HEALTHTEXAS PROVIDER NETWORK DDA,6204817398,TX,A65633,Baylor Scott & White Quality Alliance,,,Y,,,,,,,,,,
FIRST MEDICAL CARE INC,6204821655,GA,A99470,"Accountable Care Coalition of DeKalb, LLC.",,,Y,,,,,,,,,,
"AFFILIATED HOSPITALISTS, PLC",6204822869,AZ,A91115,"John C. Lincoln Accountable Care Organization, LLC",,,Y,,,,,,,,,,
STEPHEN F LEVIN DPM PA,6204823453,FL,A25701,"BayCare Physician Partners ACO, LLC",,,Y,,,,,,,,,,
"DAVID L. HIGGINS, M.D., P.C.",6204825623,MD,A34796,"Maryland Collaborative Care, LLC.",,,Y,,,,,,,,,,
CANTON-POTSDAM HOSPITAL,6204827280,NY,A99401,"Accountable Care Organization of the North Country, LLC",,,Y,,,,,,,,,,
ESSEX COUNTY OBGYN ASSOC INC,6204829062,MA,A21778,Lahey Clinical Performance ACO,,,Y,,,,,,,,,,
RADIOLOGY SPECIALISTS OF THE NORTHWEST PC,6204829963,OR,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,47,2202,,,,REG,N
RADIOLOGY SPECIALISTS OF THE NORTHWEST PC,6204829963,OR,,,,,Y,QCDR_GRP_ACRad14_1,Participation in a National Dose Index Registry,N,99,42690,,,,QCDR,Y
"MARIO A. MENDIZABAL, M.D. P.A.",6204831126,FL,A69673,Citrus ACO,,,Y,,,,,,,,,,
MERCY CLINIC CARDIOVASCULAR AND THORACIC SURGERY LLC,6204832199,MO,A81076,"Mercy Health ACO, LLC",,,Y,,,,,,,,,,
GMARCUS FRANKLIN M D and ASSOCIATES,6204837867,TX,A23652,"GHN ACO, LLC",,,Y,,,,,,,,,,
"AARON B RIVES, DPM PC",6204843980,MI,A55129,"Oakwood Accountable Care Organization, LLC",,,Y,,,,,,,,,,
"SINGING RIVER RADIOLOGY GROUP, PA",6204847064,MS,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,95,2722,,,,REG,N
"SINGING RIVER RADIOLOGY GROUP, PA",6204847064,MS,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,93,363,,,,REG,N
"SINGING RIVER RADIOLOGY GROUP, PA",6204847064,MS,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,99,1466,,,,REG,N
"SINGING RIVER RADIOLOGY GROUP, PA",6204847064,MS,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,11670,,,,REG,N
"SINGING RIVER RADIOLOGY GROUP, PA",6204847064,MS,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,23,,,,REG,N
MELVILLE H HUGHES MD PC,6204850233,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
